,label,text,precautions
54,peptic ulcer diseae,vomiting  indigestion  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
55,peptic ulcer diseae,vomiting  indigestion  loss of appetite  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
56,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
57,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
58,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
59,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
60,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
61,aids,patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
62,aids,muscle wasting  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
63,aids,muscle wasting  patches in throat  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
64,aids,muscle wasting  patches in throat  high fever,avoid open cuts  wear ppe if possible  consult doctor  follow up
65,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
66,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
67,aids,patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
68,aids,muscle wasting  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
69,aids,muscle wasting  patches in throat  high fever,avoid open cuts  wear ppe if possible  consult doctor  follow up
70,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
71,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
72,diabetes ,weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
73,diabetes ,fatigue  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
74,diabetes ,fatigue  weight loss  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
75,diabetes ,fatigue  weight loss  restlessness  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
76,diabetes ,fatigue  weight loss  restlessness  lethargy  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
77,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
78,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
79,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
80,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
81,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
82,gastroenteritis,sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
83,gastroenteritis,vomiting  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
84,gastroenteritis,vomiting  sunken eyes  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
85,gastroenteritis,vomiting  sunken eyes  dehydration,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
86,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
87,gastroenteritis,sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
88,gastroenteritis,vomiting  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
89,gastroenteritis,vomiting  sunken eyes  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
90,bronchial asthma,fatigue  cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
91,bronchial asthma,cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
92,bronchial asthma,fatigue  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
93,bronchial asthma,fatigue  cough  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
94,bronchial asthma,fatigue  cough  high fever  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
95,bronchial asthma,fatigue  cough  high fever  breathlessness  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
96,bronchial asthma,fatigue  cough  high fever  breathlessness  family history,switch to loose cloothing  take deep breaths  get away from trigger  seek help
97,bronchial asthma,fatigue  cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
98,bronchial asthma,cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
99,bronchial asthma,fatigue  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
100,hypertension ,headache  chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
101,hypertension ,chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
102,hypertension ,headache  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
103,hypertension ,headache  chest pain  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
104,hypertension ,headache  chest pain  dizziness  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
105,hypertension ,headache  chest pain  dizziness  loss of balance,meditation  salt baths  reduce stress  get proper sleep
106,hypertension ,headache  chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
107,hypertension ,chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
108,hypertension ,headache  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
109,hypertension ,headache  chest pain  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
110,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
111,migraine,indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
112,migraine,acidity  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
113,migraine,acidity  indigestion  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
114,migraine,acidity  indigestion  headache  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
115,migraine,acidity  indigestion  headache  blurred and distorted vision  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
116,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
117,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
118,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
119,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability,meditation  reduce stress  use poloroid glasses in sun  consult doctor
120,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
121,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
122,cervical spondylosis,weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
123,cervical spondylosis,back pain  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
124,cervical spondylosis,back pain  weakness in limbs  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
125,cervical spondylosis,back pain  weakness in limbs  neck pain  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
126,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
127,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
128,cervical spondylosis,weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
129,cervical spondylosis,back pain  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
130,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
131,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
132,paralysis (brain hemorrhage),headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
133,paralysis (brain hemorrhage),vomiting  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
134,paralysis (brain hemorrhage),vomiting  headache  altered sensorium,massage  eat healthy  exercise  consult doctor
135,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side,massage  eat healthy  exercise  consult doctor
136,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
137,paralysis (brain hemorrhage),headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
138,paralysis (brain hemorrhage),vomiting  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
139,paralysis (brain hemorrhage),vomiting  headache  altered sensorium,massage  eat healthy  exercise  consult doctor
140,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
141,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
142,jaundice,vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
143,jaundice,itching  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
144,jaundice,itching  vomiting  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
145,jaundice,itching  vomiting  fatigue  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
146,jaundice,itching  vomiting  fatigue  weight loss  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
147,jaundice,itching  vomiting  fatigue  weight loss  high fever  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
148,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
149,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
150,malaria,chills  vomiting  high fever  sweating  headache  nausea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
151,malaria,chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
152,malaria,chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
153,malaria,vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
154,malaria,chills  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
155,malaria,chills  vomiting  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
156,malaria,chills  vomiting  high fever  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
157,malaria,chills  vomiting  high fever  sweating  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
158,malaria,chills  vomiting  high fever  sweating  headache  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
159,malaria,chills  vomiting  high fever  sweating  headache  nausea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
160,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
161,chicken pox,skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
162,chicken pox,itching  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
163,chicken pox,itching  skin rash  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
164,chicken pox,itching  skin rash  fatigue  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
165,chicken pox,itching  skin rash  fatigue  lethargy  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
166,chicken pox,itching  skin rash  fatigue  lethargy  high fever  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
167,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
168,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
169,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
170,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
171,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
172,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
173,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
174,dengue,chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
175,dengue,skin rash  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
176,dengue,skin rash  chills  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
177,dengue,skin rash  chills  joint pain  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
178,dengue,skin rash  chills  joint pain  vomiting  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
179,dengue,skin rash  chills  joint pain  vomiting  fatigue  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
180,typhoid,chills  vomiting  fatigue  high fever  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
181,typhoid,chills  vomiting  fatigue  high fever  headache  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
182,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
183,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
184,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
185,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
186,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos),eat high calorie vegitables  antiboitic therapy  consult doctor  medication
187,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
188,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
189,typhoid,chills  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
190,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
191,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
192,hepatitis a,vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
193,hepatitis a,joint pain  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
194,hepatitis a,joint pain  vomiting  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
195,hepatitis a,joint pain  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
196,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
197,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
198,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
199,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
200,hepatitis b,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
201,hepatitis b,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
202,hepatitis b,fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
203,hepatitis b,itching  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
204,hepatitis b,itching  fatigue  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
205,hepatitis b,itching  fatigue  lethargy  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
206,hepatitis b,itching  fatigue  lethargy  yellowish skin  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
